Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Laundry & Cleaning,laundry-cleaning,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af2c,false,false,Tue Jul 07 2026 08:50:28 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2026 14:38:01 GMT+0000 (Coordinated Universal Time),
Living & Social Spaces,living-social-spaces,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af2d,false,false,Tue Jul 07 2026 08:50:35 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2026 14:37:49 GMT+0000 (Coordinated Universal Time),
Bathroom,bathroom,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af2e,false,false,Tue Jul 07 2026 08:50:43 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2026 14:37:37 GMT+0000 (Coordinated Universal Time),
Kitchen & Dining,kitchen-dining,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af2f,false,false,Tue Jul 07 2026 08:50:50 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2026 14:37:25 GMT+0000 (Coordinated Universal Time),
Bedroom & Study,bedroom-study,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af30,false,false,Tue Jul 07 2026 08:58:38 GMT+0000 (Coordinated Universal Time),Fri Jul 10 2026 14:37:10 GMT+0000 (Coordinated Universal Time),
Dorm & Living Essentials,dorm-living-essentials,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af31,false,false,Mon Jul 13 2026 14:19:01 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:19:01 GMT+0000 (Coordinated Universal Time),
Academic Essentials,academic-essentials,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af32,false,false,Mon Jul 13 2026 14:19:17 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:19:17 GMT+0000 (Coordinated Universal Time),
Personal Lifestyle,personal-lifestyle,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af33,false,false,Mon Jul 13 2026 14:19:28 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:19:28 GMT+0000 (Coordinated Universal Time),
Event Tickets & Travel,event-tickets-travel,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af34,false,false,Mon Jul 13 2026 14:19:44 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:19:44 GMT+0000 (Coordinated Universal Time),
Financial Services,financial-services,6a592ebb3ecadecfd0d7aefd,6a592ebb3ecadecfd0d7ae65,6a592ebb3ecadecfd0d7af35,false,false,Mon Jul 13 2026 14:19:57 GMT+0000 (Coordinated Universal Time),Mon Jul 13 2026 14:19:57 GMT+0000 (Coordinated Universal Time),
